Zona,PrecioM2
801908019,3041.81
801908034,3028.79
801908038,2983.43
801908042,2979.36
801908027,2975.51
801908095,2967.03
801908043,2926.91
801908051,2906.2
801908032,2847.11
801908025,2837.85
801908023,2837.01
801908035,2836.6
801908215,2832.94
801908001,2820.81
801908031,2799.39
801908018,2790.97
801908082,2787.01
801908049,2771.55
801908037,2770.34
801908048,2743.43
801908083,2736.7
801908017,2733.71
801908029,2725.83
801908085,2723.62
801908044,2713.49
801908045,2707.76
801908058,2698.09
801908054,2681.54
801908055,2672.16
801908094,2655.5
801908033,2647.78
801908059,2631.3
801908088,2625.18
801908084,2587.77
801908039,2586.64
801908078,2586.15
801908057,2572.2
801908063,2569.5
801908096,2567.24
801908092,2559.22
801908047,2551.17
801908093,2543.05
801908056,2540.19
801908040,2534.57
801908020,2486.06
801908086,2480.12
801908102,2475.97
801908076,2470.28
801908097,2463.86
801908099,2457.9
801908062,2443.44
801908080,2432.34
801908075,2428.89
801908030,2427.1
801908087,2418.01
801908089,2417.41
801908101,2400.0
801908081,2392.78
801908061,2383.36
801908072,2348.81
801908041,2341.35
801908073,2325.94
801908091,2318.05
801908103,2306.35
801908079,2291.57
801908090,2290.08
801908104,2284.76
801908098,2264.12
801908077,2205.43
801908074,2201.08
801908105,2177.72
801908064,2156.91
801908071,2151.5
801908107,2126.92
801908100,2029.04
801908067,2026.61
801908106,2023.68
801908070,2020.66
801908066,1926.01
801908068,1916.4
801908112,1876.94
801908115,1852.08
801908108,1828.81
801908116,1819.13
801908113,1764.31
801908069,1744.75
801908065,1740.51
801908060,1706.57
801908114,1705.7
801908111,1704.37
801908021,1688.71
801908109,1477.72
801908110,1413.39
801910080,9636.84
801910078,8368.75
801910079,7457.04
801910059,7423.42
801910236,6081.6
801910235,5637.69
801910071,5636.92
801910055,5620.68
801910077,5467.15
801910052,5253.8
801910061,5240.46
801910058,5219.81
801910066,5159.16
801910062,5143.24
801910053,5132.49
801910060,5102.7
801910056,5094.73
801910054,5056.05
801910076,5028.79
801910043,5026.92
801910063,5016.6
801910096,5013.81
801910081,5012.65
801910068,4949.41
801910067,4938.4
801910070,4927.6
801910064,4876.51
801910065,4865.59
801910069,4819.75
801910045,4732.93
801910095,4713.19
801910094,4709.21
801910051,4700.34
801910072,4670.59
801910012,4657.71
801910047,4546.78
801910042,4488.99
801910074,4484.47
801910050,4481.63
801910092,4460.67
801910073,4385.55
801910048,4369.51
801910049,4368.01
801910008,4317.31
801910016,4292.21
801910011,4268.1
801910075,4263.62
801910013,4210.23
801910034,4157.55
801910097,4116.42
801910057,4098.1
801910009,4096.28
801910010,4060.07
801910100,4021.51
801910036,3983.78
801910035,3977.79
801910021,3969.47
801910014,3911.05
801910037,3899.73
801910098,3859.54
801910017,3844.16
801910002,3833.09
801910044,3831.33
801910041,3807.91
801910030,3784.68
801910015,3749.78
801910039,3743.35
801910028,3723.63
801910027,3686.78
801910006,3674.51
801910024,3660.51
801910019,3653.52
801910031,3649.89
801910099,3644.52
801910033,3638.84
801910040,3628.86
801910026,3627.55
801910025,3620.26
801910038,3606.59
801910018,3591.59
801910101,3550.93
801910032,3525.82
801910234,3509.74
801910107,3492.51
801910020,3461.99
801910003,3434.53
801910005,3423.0
801910114,3415.36
801910091,3407.19
801910093,3403.97
801910022,3385.79
801910124,3385.54
801910029,3377.02
801910004,3364.7
801910001,3346.38
801910023,3345.17
801910007,3334.83
801910105,3327.29
801910104,3206.66
801910046,3193.81
801910121,3163.1
801910108,3124.54
801910116,3114.03
801910106,3067.91
801910109,3058.94
801910113,3043.86
801910103,3037.0
801910102,3032.87
801910110,3030.73
801910112,3022.58
801910117,2972.94
801910237,2945.23
801910133,2939.7
801910134,2928.86
801910122,2902.33
801910127,2897.71
801910119,2890.81
801910131,2874.15
801910120,2869.66
801910132,2852.46
801910128,2850.72
801910129,2792.15
801910089,2746.07
801910115,2737.23
801910111,2695.32
801910118,2679.61
801910126,2666.86
801910123,2650.47
801910135,2626.44
801910136,2608.01
801910138,2592.11
801910090,2553.55
801910125,2513.23
801910139,2468.44
801910130,2456.76
801910088,2423.18
801910142,2394.73
801910086,2347.62
801910137,2345.84
801910140,2337.17
801910084,2320.92
801910082,2310.69
801910141,2295.73
801910143,2261.38
801910087,2193.23
801910085,1992.91
801910083,1854.88
801909026,4781.66
801909028,4493.56
801909038,4431.8
801909095,4337.79
801909039,4203.21
801909062,3914.77
801909025,3904.32
801909040,3856.52
801909031,3830.51
801909042,3810.56
801909045,3790.19
801909046,3761.83
801909057,3713.44
801909093,3709.3
801909030,3655.79
801909058,3648.82
801909041,3636.64
801909047,3621.66
801909079,3595.92
801909083,3573.12
801909088,3565.39
801909091,3554.56
801909085,3540.06
801909021,3539.26
801909063,3536.51
801909036,3523.08
801909059,3514.58
801909019,3511.18
801909094,3506.05
801909092,3478.52
801909068,3477.32
801909084,3469.16
801909066,3446.08
801909048,3441.24
801909052,3411.14
801909016,3389.15
801909080,3384.6
801909044,3381.6
801909090,3365.83
801909065,3364.37
801909043,3356.24
801909061,3341.88
801909024,3334.2
801909017,3331.9
801909078,3327.57
801909020,3323.55
801909076,3308.64
801909053,3307.48
801909074,3302.29
801909060,3296.32
801909008,3293.13
801909054,3256.8
801909064,3255.18
801909072,3242.56
801909086,3242.25
801909082,3228.26
801909077,3219.06
801909035,3200.08
801909023,3198.89
801909087,3198.64
801909081,3152.16
801909032,3141.2
801909037,3138.37
801909049,3124.0
801909070,3122.33
801909022,3113.38
801909089,3081.74
801909071,3081.2
801909069,3069.36
801909018,3068.69
801909050,3042.81
801909055,3023.89
801909056,3003.22
801909075,2995.38
801909073,2993.82
801909067,2961.45
801909033,2937.88
801909034,2898.39
801909009,2879.01
801909051,2696.72
801909005,2495.79
801909014,2312.94
801909010,2300.83
801909013,2158.62
801909011,2114.37
801909007,2058.81
801909004,2038.43
801909003,2011.49
801909006,1962.32
801909015,1922.3
801909002,1861.1
801909001,1771.62
801905007,8830.13
801905010,7875.51
801905021,7756.17
801905008,7270.14
801905006,7254.37
801905055,7218.82
801905058,7199.39
801905056,7166.98
801905017,6975.77
801905082,6957.74
801905032,6941.18
801905031,6922.98
801905059,6859.11
801905060,6792.1
801905035,6782.22
801905054,6644.99
801905040,6512.63
801905053,6499.52
801905011,6463.47
801905009,6432.79
801905033,6367.24
801905057,6365.05
801905025,6340.39
801905014,6326.48
801905019,6324.24
801905061,6291.8
801905022,6217.19
801905024,6189.94
801905068,6189.14
801905046,6151.03
801905049,6098.7
801905029,6083.25
801905027,6069.99
801905028,6062.33
801905062,6048.38
801905084,6025.37
801905018,5866.16
801905036,5857.15
801905051,5791.87
801905013,5785.96
801905039,5772.46
801905020,5751.22
801905012,5746.87
801905023,5646.18
801905066,5645.78
801905030,5635.95
801905071,5609.54
801905069,5602.17
801905065,5594.22
801905081,5581.05
801905016,5550.62
801905072,5540.04
801905015,5488.54
801905026,5477.98
801905004,5454.95
801905067,5441.78
801905052,5440.6
801905045,5434.03
801905063,5399.03
801905047,5346.79
801905073,5325.42
801905075,5267.32
801905003,5257.68
801905074,5255.96
801905005,5172.55
801905070,5158.54
801905064,5129.83
801905089,5122.65
801905002,5101.08
801905034,5096.15
801905083,5071.0
801905041,4979.79
801905095,4948.53
801905076,4938.03
801905094,4911.39
801905078,4906.4
801905088,4905.5
801905050,4898.86
801905085,4859.21
801905090,4801.74
801905079,4797.2
801905093,4762.13
801905044,4726.56
801905048,4718.74
801905037,4712.32
801905043,4682.48
801905038,4649.03
801905077,4602.46
801905080,4598.96
801905096,4482.16
801905087,4480.53
801905086,4403.61
801905098,4376.64
801905092,4374.64
801905042,4326.48
801905091,4276.13
801905097,4235.05
801905001,4008.65
